Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
250370405000027,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,270,1002,3.71,3.05,669.38,444366.48,728.76,440496.14,356.04,260929.33,584.98,294852.12,NA
250370405000028,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,257,838,3.26,2.41,779.68,703509.98,834.91,707247.7,454.62,404384.9,694.29,451268.59,NA
250370405000029,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,325,1031,3.17,2.19,1183.91,2244975.55,1229.3,2275344.83,679.44,1234700.17,1000.81,1497507.91,NA
250370405000030,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,403,1338,3.32,2.17,1042.03,1765628.27,1090.75,1795114.35,577.42,1058407.93,928.08,1376177.1,NA
250370405000031,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,233,784,3.36,2.34,622.88,184822.89,656.7,172592.84,393.83,168841.09,569.72,143986.95,NA
250370405000032,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,245,913,3.73,3.3,535.01,206713.75,598.53,193176.8,266.67,140590.37,506.68,145530.04,NA
250370405000033,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,352,1257,3.57,2.92,355.77,247266.43,604.99,269811.18,285.23,186566.31,555.02,213345.14,NA
250370405000034,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,312,1042,3.34,2.27,552.64,252598.56,602.88,245247.2,323.64,191010.82,519.8,204846.56,NA
250370405000035,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,417,1424,3.41,3.22,859.05,849204.06,904.6,853037.78,459.74,489315.43,723.65,579343.96,NA
250370405000036,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,368,1284,3.49,2.53,533.43,371148.81,619.25,377737.35,291.18,202023.63,528.09,241348.58,NA
250370405000037,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,251,856,3.41,2.77,883.88,1782403.16,924.4,1826833.22,478.45,869707.87,684.96,1104110.61,NA
250370405000038,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,366,1250,3.42,2.76,710.42,843830.15,764.74,866880.57,425.16,672576.45,651.71,883622.34,NA
250370405000039,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,361,1222,3.39,2.26,899.55,691557.87,946.75,683132.13,508.41,483679.38,793.85,528709.41,NA
250370405000040,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,173,562,3.25,3.22,381.08,79380.44,399.55,75825.38,247.05,76510.02,353.54,71827.84,NA
250370405000041,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,55,194,3.53,2.77,406.29,126412.95,446.92,120783.71,228.4,91177.36,347.84,97367.41,NA
250370405000042,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,272,951,3.5,3.31,510.02,620954.44,525.47,631690.66,282.24,298558.88,423.62,388388.87,NA
250370405000043,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,152,590,3.88,3.55,372.18,86161.35,459.93,65953.31,218.49,79484.21,418.15,68590.99,NA
250370405000044,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,123,393,3.2,2.4,453.13,249810.74,546.42,250270.38,252.42,145356.37,448.89,170431.44,NA
250370405000045,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,212,679,3.2,2.12,464.92,414214.65,513.35,432596.7,307.17,449003.36,399.33,547128.82,NA
250370405000046,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,256,939,3.67,3,498.69,371830.04,545.58,381249.02,313.28,255241.01,485.9,312113.39,NA
250370405000047,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,221,741,3.35,2.59,469.71,339316.14,511.36,348149.08,287.36,205271.82,439.17,247145.63,NA
250370405000048,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),5,0,106,391,3.69,2.71,520.58,201017.14,580.86,189154.52,309.21,146686.17,461.78,148618.67,NA
250370405000049,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,120,383,3.19,2.54,454.54,193012.27,505.05,188912.94,295.92,139124.52,447.88,142521.74,NA
250370405000050,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,35,117,3.34,3.58,434.57,96202.02,543.21,59941.14,303.02,85326.32,495.85,43374.81,NA
250370405000051,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,271,1003,3.7,3.24,434.26,113360.12,496.56,98625.22,245.17,104747.13,438.4,102588.17,NA
250370405000052,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),8,0,216,799,3.7,2.9,451.63,229229.26,551.14,224868.94,270.01,134905.01,459.22,142570.96,NA
250370405000053,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,285,993,3.48,2.54,436.43,153804.57,476.56,148803.09,250.24,130668.65,417.59,148204.84,NA
250370405000054,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,272,862,3.17,2.07,3406.77,35622171.2,3536.8,36525354.9,1772.36,16127876.97,2654.96,21827459.63,NA
250370405000055,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,301,1039,3.45,2.65,696.75,654716.76,822.44,669508.49,496.24,536133.25,726.48,617757.66,NA
250370405000056,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,248,883,3.56,3.11,595.78,327171.26,634.14,323897.35,366,227785.91,537.54,242369.37,NA
250370405000057,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,199,730,3.67,1.98,1509.05,16935830.48,1632.07,18122138.18,693.39,6347659.52,1285.84,11024295.46,NA
250370405000058,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,262,927,3.54,2.86,713.25,538824.03,769.02,538064.38,376.02,314399.25,622.16,367174.32,NA
250370405000059,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,252,929,3.69,3.07,312.08,108174.72,365.78,107141.37,241.79,117348.19,391.68,131417.25,NA
250370405000060,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,395,1381,3.5,2.72,479.92,375620.52,658.22,397888.14,255.64,203849.05,545.91,276981.19,NA
250370405000061,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,233,762,3.27,2.14,2366.85,16995093.98,2601.3,18073777.71,1206.13,7570382.72,1852.46,10436280.87,NA
250370405000062,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,153,475,3.1,1.99,545.3,551906.91,641.78,587912.7,354.12,478639.4,580.29,653822.18,NA
250370405000063,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,231,759,3.29,2.11,680.44,491619.81,737.94,490727.65,401.82,353348.91,581.3,406967.28,NA
